AdemolaLookman RasenBallsportLeipzig 20 AM(CLR)FW 11 576 19.8 0.4 0.3 14.8 4.4 7.01
JonasHector FCCologne 28 AM(CLR)FW 11 576 19.8 0.4 0.3 14.8 4.4 7.01
KaiHavertz BayerLeverkusen 19 AM(CR) 30 2141 36.1 1.5 0.6 27.8 6.2 7.00
JetroWillems EintrachtFrankfurt 24 D(L)M(L) 23 1670 24.8 1.2 1.1 17 5.5 7.00
FranckRibéry BayernMunich 35 AM(L) 20 1210 37.9 1.9 0.4 31.1 4.7 7.00
SvenBender BayerLeverkusen 29 D(C)M(C) 29 2350 55.1 3 3 44.4 4.7 7.00
NiklasStark HerthaBerlin 23 D(C)DMC 26 2210 40.9 3.3 3.6 29.7 4.3 7.00
DavieSelke HerthaBerlin 23 FW 27 1888 15.7 0.1 0.1 9.4 6.1 7.00
KevinVolland BayerLeverkusen 26 AM(CLR)FW 31 2599 23.6 0.6 0.2 17.3 5.5 6.99
WaldemarAnton Hannover96 22 D(C)DMC 27 2278 44.6 3.1 2.7 32.6 6.1 6.99
CorentinTolisso BayernMunich 24 D(R)M(C) 26 1529 48.5 3.6 0.6 40.2 4.1 6.99
KeremDemirbay Hoffenheim 25 AM(C) 19 1211 33.9 1.6 1.1 26.6 4.6 6.99
ChristianGentner VfBStuttgart 33 M(CR) 27 2412 43.7 1.7 4 29.8 8.2 6.99
TimoBaumgartl VfBStuttgart 22 D(C) 29 2610 51 4.3 4.3 37.7 4.7 6.98
MitchellWeiser HerthaBerlin 24 D(R)M(R) 24 1983 37 1.3 1.8 26.3 7.7 6.98
FlorianGrillitsch Hoffenheim 23 DMCM(L) 25 1895 42 2.9 2.1 32 5 6.98
CharlesAránguiz BayerLeverkusen 29 M(C) 27 2307 63.7 4.1 2.2 50.6 6.7 6.98
JulianBrandt BayerLeverkusen 22 AM(CLR)FW 34 2337 34.2 1.2 0.4 25.8 6.8 6.98
MaxKruse WerderBremen 30 M(CR)FW 29 2455 42.6 3.3 1.1 30.7 7.5 6.97
AnteRebic EintrachtFrankfurt 24 AM(CLR)FW 25 1764 17.8 0.4 0.2 9.7 7.4 6.96
SandroWagner BayernMunich 30 FW 14 722 15 0.7 0.4 10.6 3.3 6.96
SébastienHaller EintrachtFrankfurt 24 FW 31 2352 22.2 0.5 0.2 14.1 7.4 6.96
DanielOpare Augsburg 27 D(LR) 17 1419 23.2 1.8 3.2 13.5 4.7 6.96
BenjaminStambouli Schalke04 28 D(C)M(C) 28 2195 48.6 3.1 4.7 35.1 5.7 6.96
MathewLeckie HerthaBerlin 27 AM(CLR) 26 1854 28.8 1 0.8 19.4 7.6 6.96
ChristophKramer BorussiaM.Gladbach 27 DMC 27 2162 56.3 2.5 1.7 47 5.1 6.96
EmilianoInsúa VfBStuttgart 29 D(L)M(L) 25 2107 30.6 1.2 2.8 21.9 4.7 6.95
Felipe Hannover96 31 D(C) 6 458 45 2.7 5.7 31.8 4.8 6.95
JohnBrooks Wolfsburg 25 D(C) 9 729 41 4.3 2.9 30.9 2.9 6.95
DominicMaroh FCCologne 31 D(C) 11 914 44.1 3.8 2 35 3.3 6.95
NilsPetersen Freiburg 29 FW 32 2240 19.3 0.3 0.5 12.2 6.3 6.95
DavidAlaba BayernMunich 26 D(CL)M(C) 23 1551 47.4 1 1 41.2 4.2 6.95
JonathanTah BayerLeverkusen 22 D(C) 28 2427 52.5 3 2.6 42.2 4.7 6.95
DannyLatza Mainz05 28 DMC 29 2356 42.1 2.6 1.7 30.8 7 6.95
LucasAlario BayerLeverkusen 25 FW 23 1546 17.6 0.2 0.3 13 4.2 6.95
ErikThommy VfBStuttgart 24 AM(L) 14 993 18.9 0.7 1 13.2 4 6.94
AbdouDiallo Mainz05 22 D(CL) 27 2416 41.5 3.4 4.8 27.7 5.6 6.94
MarcoFriedl BayernMunich 20 Defender 1 45 42 2 1 36 3 6.94
AdmirMehmedi BayerLeverkusen 27 M(CLR)FW 12 701 27.1 0.8 0.6 21.6 4.2 6.94
DavidAbraham EintrachtFrankfurt 32 D(C) 27 2304 48.3 4.7 4.3 35.3 3.9 6.94
JannikVestergaard BorussiaM.Gladbach 26 D(C) 32 2880 59.8 5.7 4.3 45.3 4.5 6.93
TimoHübers Hannover96 22 D(C) 5 450 34 2.4 3.2 23.4 5 6.93
KyriakosPapadopoulos HamburgerSV 26 D(C) 29 2610 41.9 2.7 5.1 28.1 6 6.93
ÖmerToprak BorussiaDortmund 29 D(C) 26 2018 71.2 3.7 2.7 60.3 4.5 6.93
JosuhaGuilavogui Wolfsburg 27 M(C) 29 2407 46.7 3.1 2 36.7 4.9 6.93
PavelKaderábek Hoffenheim 26 D(R)M(R) 28 2197 28.5 1.2 1.4 20.1 5.8 6.92
Sokratis BorussiaDortmund 30 D(CR) 30 2376 63.4 3.7 4.2 51.4 4.1 6.92
MatthiasGinter BorussiaM.Gladbach 24 D(CR)DMC 34 3060 60.1 3.8 3.3 48.6 4.5 6.92
KoenCasteels Wolfsburg 26 GK 34 3060 33 8.4 12.8 11.7 0.2 6.92
NicoElvedi BorussiaM.Gladbach 21 D(CLR) 33 2916 45.8 1 1.3 37.2 6.2 6.92
AmineHarit Schalke04 21 AM(CLR) 31 2053 23.1 0.6 0.4 18.9 3.3 6.92
KevinKampl RasenBallsportLeipzig 27 M(CLR) 26 2021 44 1.5 1 36.6 4.9 6.91
William Wolfsburg 23 D(LR)M(R) 22 1614 36.7 3.7 3 23.6 6.4 6.91
Bernardo RasenBallsportLeipzig 23 D(LR) 18 1350 39.2 1.5 3.1 27.3 7.2 6.90
LintonMaina Hannover96 19 Midfielder 2 31 10 0.5 - 8.5 1 6.90
NiklasSüle BayernMunich 22 D(C) 27 1919 59.7 3.9 1.8 51.4 2.6 6.90
TheodorGebreSelassie WerderBremen 31 D(C) 27 1919 59.7 3.9 1.8 51.4 2.6 6.90
TimoWerner RasenBallsportLeipzig 22 AM(L)FW 32 2493 20.4 0.4 0.3 14.9 4.8 6.90
KoenCasteels Wolfsburg 26 GK 34 3060 33 8.4 12.8 11.7 0.2 6.92
NicoElvedi BorussiaM.Gladbach 21 D(CLR) 33 2916 45.8 1 1.3 37.2 6.2 6.92
AmineHarit Schalke04 21 AM(CLR) 31 2053 23.1 0.6 0.4 18.9 3.3 6.92
KevinKampl RasenBallsportLeipzig 27 M(CLR) 26 2021 44 1.5 1 36.6 4.9 6.91
William Wolfsburg 23 D(LR)M(R) 22 1614 36.7 3.7 3 23.6 6.4 6.91
Bernardo RasenBallsportLeipzig 23 D(LR) 18 1350 39.2 1.5 3.1 27.3 7.2 6.90
LintonMaina Hannover96 19 Midfielder 2 31 10 0.5 - 8.5 1 6.90
NiklasSüle BayernMunich 22 D(C) 27 1919 59.7 3.9 1.8 51.4 2.6 6.90
TheodorGebreSelassie WerderBremen 31 D(C) 27 1919 59.7 3.9 1.8 51.4 2.6 6.90
TimoWerner RasenBallsportLeipzig 22 AM(L)FW 32 2493 20.4 0.4 0.3 14.9 4.8 6.90
Jean-KévinAugustin RasenBallsportLeipzig 21 FW 25 1273 11.4 0.2 0.1 8.8 2.3 6.89
PaulJaeckel Wolfsburg 20 Defender 3 270 48 3.3 4.7 33 7 6.89
MarioGötze BorussiaDortmund 26 M(CLR)FW 23 1608 42.3 0.8 1 33.6 7 6.88
JadonSancho BorussiaDortmund 18 AM(L) 12 684 29.8 0.8 0.6 24.3 4.2 6.88
Wendell BayerLeverkusen 25 D(L) 26 2121 44.3 1.7 1.3 34.8 6.5 6.88
DiegoDemme RasenBallsportLeipzig 26 DMC 30 2288 69.1 3.1 3 55 8 6.87
Rafinha BayernMunich 32 D(CLR)M(R) 27 1843 58.5 4 1.3 48.6 4.6 6.87
Ron-RobertZieler VfBStuttgart 29 GK 34 3060 35.5 10 16.5 8.8 0.1 6.86
PhilippBargfrede WerderBremen 29 M(C) 27 1871 35.5 2.2 1.8 26 5.5 6.86
FelixKlaus Hannover96 25 AM(CLR) 28 1991 21.6 0.5 0.7 15.1 5.3 6.86
AnastasiosDonis VfBStuttgart 21 AM(C)FW 18 951 9.5 0.3 0.5 6.7 2 6.86
HolgerBadstuber VfBStuttgart 29 D(CL) 27 2169 40.4 3.1 3.3 30.6 3.4 6.86
DanielBaier Augsburg 34 M(C) 29 2543 54.5 3.9 4.4 36.5 9.7 6.86
MarvinPlattenhardt HerthaBerlin 26 D(L) 33 2970 38 2.2 2.9 28.8 4.1 6.85
JeffreyGouweleeuw Augsburg 27 D(C) 27 2386 43.3 4.4 5.2 29.3 4.4 6.85
JiríPavlenka WerderBremen 26 GK 34 3060 29 8.6 10.7 9.5 0.2 6.85
SebastianRudy BayernMunich 28 D(R)M(CR) 25 1509 41.5 2.7 0.5 34.6 3.7 6.84
JordanTorunarigha HerthaBerlin 21 D(C) 12 661 27.9 3.3 2.7 18.8 3.2 6.84
EmilForsberg RasenBallsportLeipzig 26 AM(CLR) 21 1374 25.6 0.6 0.5 19.9 4.7 6.84
MartinHinteregger Augsburg 25 D(C) 30 2655 44.3 3.5 5.2 31.3 4.3 6.84
StefanPosch Hoffenheim 21 D(C) 9 758 52.7 2.7 4.2 41.9 3.9 6.84
ZlatkoJunuzovic WerderBremen 30 M(CLR) 24 1636 28.3 0.9 1 20.3 6.1 6.84
Kevin-PrinceBoateng EintrachtFrankfurt 31 M(CLR)FW 31 2361 35.1 1.8 1.8 25.3 6.3 6.83
LewisHoltby HamburgerSV 27 M(CLR) 16 1197 33.9 2 1.3 24.9 5.6 6.82
JulianBaumgartlinger BayerLeverkusen 30 DMC 22 1398 43.2 2.3 0.6 36.9 3.4 6.82
Bruma RasenBallsportLeipzig 23 AM(CLR) 28 1611 27.8 0.7 0.4 21.8 4.9 6.82
SantiagoAscacibar VfBStuttgart 21 DMC 29 2386 38.6 1.7 0.9 30.7 5.3 6.82
DennisDiekmeier HamburgerSV 28 D(R)M(R) 22 1870 25 0.7 2.8 15.3 6.2 6.82
JulianWeigl BorussiaDortmund 22 DMC 25 1943 50.6 3 1.9 40.7 5.1 6.82
TimothyChandler EintrachtFrankfurt 28 D(R)M(LR) 24 1893 26.1 1.8 2.7 16.2 5.5 6.82
StefanBell Mainz05 27 D(CR) 25 2176 37.3 2.8 4.4 24.9 5.2 6.81
MatijaNastasic Schalke04 25 D(C) 24 1991 48.5 3.4 3.5 37.9 3.8 6.81
JanikHaberer Freiburg 24 AM(CLR)FW 33 2758 30.7 1.4 1.3 20.3 7.7 6.81
FinBartels WerderBremen 31 M(CLR)FW 14 1129 26.8 0.9 0.6 18.6 6.8 6.81
ShinjiKagawa BorussiaDortmund 29 M(CL) 19 1166 38.3 1.8 0.9 31.7 3.8 6.81
DannydaCosta EintrachtFrankfurt 25 D(R)M(R) 17 1199 30.9 1.1 1.9 22 5.9 6.81
AndriyYarmolenko BorussiaDortmund 28 AM(R) 18 1042 22.2 0.9 0.8 16.6 4 6.80
ValentinoLazaro HerthaBerlin 22 AM(CLR) 26 1860 22.7 0.5 1.2 16.4 4.6 6.80
AmirAbrashi Freiburg 28 DMC 12 852 26.3 1.2 0.5 19.3 5.3 6.80
RaphaelFramberger Augsburg 22 D(R) 9 697 26.7 0.9 2.1 17.6 6.1 6.80
SimonTerodde FCCologne 30 FW 15 1165 20 0.3 0.3 12.7 6.8 6.80
FabianLustenberger HerthaBerlin 30 D(C)M(C) 23 1581 37.3 2.8 2.6 28 3.9 6.79
AaronHunt HamburgerSV 31 M(CLR)FW 29 2168 35.4 2.1 1 26.3 6 6.79
MiikoAlbornoz Hannover96 27 D(L)M(L) 10 701 30.8 1.7 2.4 21.9 4.8 6.79
RaniKhedira Augsburg 24 D(C)DMC 30 2280 28.3 1 1.8 20.2 5.3 6.79
YannSommer BorussiaM.Gladbach 29 GK 30 2627 37.1 7.4 11.1 18.5 0.1 6.79
PanagiotisRetsos BayerLeverkusen 20 D(CLR) 24 1716 44.2 2.6 1.4 34.7 5.5 6.79
MarwinHitz Augsburg 30 GK 32 2880 31.2 9.1 9.5 12.5 0.1 6.79
SimonFalette EintrachtFrankfurt 26 D(C) 27 2209 45.3 3 5.1 31.7 5.6 6.78
NabilBentaleb Schalke04 23 DMC 16 1012 32.9 1.8 2.1 25.1 3.9 6.78
GuidoBurgstaller Schalke04 29 AM(L)FW 32 2330 16.9 0.1 0.2 12 4.6 6.78
JeremyToljan BorussiaDortmund 24 D(LR)M(LR) 16 1209 43.7 1.5 2.2 34.3 5.7 6.78
RaphaelGuerreiro BorussiaDortmund 24 D(L)M(CL) 9 547 39.1 0.8 0.9 32 5.4 6.78
SalihÖzcan FCCologne 20 M(C) 23 1672 39.8 1.6 1.1 29.6 7.6 6.78
NicolasHöfler Freiburg 28 D(C)DMC 27 2259 47.3 2.7 1 38.1 5.5 6.78
