DeleAlli Tottenham 22 M(CL) 36 2972 34.8 1.1 1.1 25.8 6.9 7.09
AlexandreLacazette Arsenal 27 M(LR)FW 32 2212 22.6 0.3 0.3 17.1 5 7.09
BenDavies Tottenham 25 D(CL)M(L) 29 2325 45 1.6 2.3 34.4 6.7 7.08
RubenLoftus-Cheek CrystalPalace 22 M(CLR) 24 1875 30.1 1 0.5 23.8 4.8 7.08
LaurentKoscielny Arsenal 32 D(C) 25 2227 69.8 4.4 2.2 57.7 5.5 7.08
HarryMaguire Leicester 25 D(C) 38 3420 45.8 4.6 4.4 31.3 5.5 7.08
AntonioValencia ManchesterUnited 33 D(R)M(R) 31 2743 51.7 2.4 3 41.7 4.5 7.07
MarkoArnautovic WestHam 29 AM(CLR)FW 31 2323 22 0.3 0.7 15.4 5.5 7.07
LasseSorenson Stoke 18 Midfielder 1 76 54 3 3 37 11 7.06
FlorianLejeune NewcastleUnited 27 D(C) 24 2104 44.6 4.5 5.8 29.8 4.5 7.05
KyleWalker ManchesterCity 28 D(CR)M(R) 32 2787 73.8 2.7 2.6 62.1 6.4 7.05
GabrielJesus ManchesterCity 21 AM(LR)FW 29 1673 20.4 0.4 0.1 15.9 4 7.05
ManuelLanzini WestHam 25 AM(CLR) 27 2049 45 1.1 0.5 38.3 5 7.04
JamaalLascelles NewcastleUnited 24 D(C) 33 2928 35.9 2.4 3.8 25.3 4.4 7.04
VincentKompany ManchesterCity 32 D(C) 17 1397 84.1 4.9 2.1 72.9 4.2 7.04
KieranTrippier Tottenham 27 D(R)M(R) 24 1914 52.8 3.1 3.2 39.9 6.6 7.04
EricBailly ManchesterUnited 24 D(CR) 13 1000 32.8 1.4 2.2 26.8 2.3 7.03
ArthurMasuaku WestHam 24 D(L)M(L) 27 1873 25.2 1 1.4 19.3 3.5 7.02
LewisDunk Brighton 26 D(C) 38 3420 39.3 4.3 5.1 26.5 3.4 7.02
JohannBergGudmundsson Burnley 27 AM(CLR) 35 2840 23 1.2 1.7 15.7 4.4 7.02
AndrewRobertson Liverpool 24 D(L)M(L) 22 1943 64.6 1.9 2.6 54.4 5.8 7.02
TerenceKongolo Huddersfield 24 D(CL) 13 1047 23.9 0.9 2.4 16.2 4.5 7.02
GranitXhaka Arsenal 25 M(C) 38 3266 82 4.9 2.5 66.3 8.2 7.02
BadouNdiaye Stoke 27 M(C) 13 1140 26 1.6 0.8 19.8 3.8 7.02
TrentAlexander-Arnold Liverpool 19 D(R) 19 1576 53 3.9 5.3 37 6.8 7.02
LukaMilivojevic CrystalPalace 27 DMC 36 3082 45.9 3.4 2.7 33.4 6.4 7.01
CraigDawson WestBromwichAlbion 28 D(CR) 28 2509 32.4 2.2 4.5 20.3 5.3 7.01
Willian Chelsea 30 AM(CLR) 36 1883 25.7 1.1 0.6 19.5 4.4 7.01
AbdoulayeDoucouré Watford 25 M(C) 37 3325 60.6 2.3 1.6 48.5 8.4 7.00
DejanLovren Liverpool 29 D(C) 29 2125 62.2 3.1 3.3 51.9 3.8 6.99
SonHeung-Min Tottenham 26 M(CLR)FW 37 2312 24.8 0.4 0.3 20.7 3.4 6.99
AhmedHegazi WestBromwichAlbion 27 D(C) 38 3387 31.2 3.6 4 19.2 4.4 6.98
JamieVardy Leicester 31 AM(L)FW 37 3258 12.5 0.4 0.3 7.2 4.7 6.98
CucoMartina Everton 28 D(CLR) 21 1831 37.1 2.1 3.6 26.9 4.6 6.98
MatthewLowton Burnley 29 D(LR)M(R) 26 2295 31.7 2.8 4.8 19 5.1 6.97
MattTargett Southampton 22 D(L)M(L) 2 167 40 3 6.5 26 4.5 6.97
SimonFrancis Bournemouth 33 D(CR) 32 2710 50.2 3.8 5.4 33.1 7.8 6.96
HenrikhMkhitaryan ManchesterUnited 29 M(CLR) 15 931 35.4 0.9 0.9 28.3 5.3 6.96
YohanBenalouane Leicester 31 D(CR) 1 90 27 2 3 15 7 6.96
EricDier Tottenham 24 D(CR)DMC 34 2827 66.1 4.8 2.9 52.2 6.2 6.96
Kenedy NewcastleUnited 22 M(L) 13 1030 27 0.6 1 20.2 5.2 6.95
IdrissaGueye Everton 28 M(C) 33 2757 47.5 2.2 1.3 38.1 5.9 6.95
DavidOspina Arsenal 29 GK 5 380 23.4 4.4 7.2 11.8 - 6.95
JordanHenderson Liverpool 28 M(CLR) 27 2173 77.2 5.6 3.9 59.6 8.1 6.95
MarouaneFellaini ManchesterUnited 30 M(C) 16 613 24.6 0.7 0.4 20.3 3.2 6.94
DavinsonSánchez Tottenham 22 D(C) 31 2535 60.2 3.9 3.1 50 3.2 6.94
JesúsGámez NewcastleUnited 33 D(LR) 2 97 22.5 1 2 17.5 2 6.94
MichaelKeane Everton 25 D(CR) 30 2561 38.6 3.2 4.1 26.8 4.5 6.94
ÁlvaroMorata Chelsea 25 AM(L)FW 31 2067 18.6 0.8 0.4 12.8 4.6 6.94
ChristianKabasele Watford 27 D(C) 28 2332 32.3 2.3 3.7 21.8 4.5 6.93
MarioLemina Southampton 24 DMC 25 1723 38.8 1.6 1.4 32.5 3.4 6.93
NickPope Burnley 26 GK 35 3114 31.4 10.3 19.1 1.9 - 6.93
EricMaximChoupo-Moting Stoke 29 M(CLR)FW 30 2248 21.4 0.6 0.5 15 5.3 6.93
ChrisBrunt WestBromwichAlbion 33 D(L)M(CLR) 26 1923 33.9 3.5 4.5 21.4 4.5 6.93
OriolRomeu Southampton 26 DMC 34 2903 54.2 2.6 2.2 42.1 7.2 6.92
JamesCollins WestHam 35 D(C) 13 1050 30 3.1 4.9 18.7 3.3 6.92
AntonioRüdiger Chelsea 25 D(CR) 27 2336 63.3 3.8 2.7 52.9 4 6.92
SeadKolasinac Arsenal 25 D(L)M(L) 27 2152 47 0.9 1.6 36.7 7.8 6.92
JoelMatip Liverpool 27 D(C) 25 1995 66.2 3.6 3.5 55.1 4 6.92
JordanAyew Swansea 26 AM(CLR)FW 36 2859 23.2 0.5 0.4 18.7 3.6 6.91
Danilo ManchesterCity 27 D(LR) 23 1342 48.3 1.4 1.6 42 3.3 6.91
ChristianBenteke CrystalPalace 27 FW 31 2238 21.7 0.4 0.3 11.8 9.2 6.91
YounesKaboul Watford 32 D(C) 2 151 38 5 6 21 6 6.90
VictorMoses Chelsea 27 M(CLR) 28 2119 29.8 0.9 2.3 21.9 4.7 6.90
MousaDembélé Tottenham 31 M(CR) 28 1886 50.8 1.3 0.5 45.5 3.5 6.90
JoséFonte WestHam 34 D(C) 8 690 43.4 3.8 4.1 31.3 4.3 6.89
SteveCook Bournemouth 27 D(C) 34 2766 38.9 3.1 4.5 26.4 4.9 6.89
MikevanderHoorn Swansea 25 D(C) 24 1952 35.8 3.1 5 24.2 3.5 6.89
LukaszFabianski Swansea 33 GK 38 3420 29.3 8.9 13.6 6.7 0.1 6.89
WesleyHoedt Southampton 24 D(C) 28 2520 47.3 5.1 5.8 32.2 4.2 6.89
StephenWard Burnley 33 D(L) 28 2462 33 2.5 5 20.3 5.2 6.89
JohnStones ManchesterCity 24 D(CR) 18 1306 69.2 3.4 1.3 62.9 1.6 6.89
NathanAké Bournemouth 23 D(CL)DMC 38 3354 41.8 2.3 2.1 32.8 4.7 6.88
MichailAntonio WestHam 28 D(CL)DMC 38 3354 41.8 2.3 2.1 32.8 4.7 6.88
GylfiSigurdsson Everton 28 M(CLR)FW 27 2262 25.9 0.4 1.7 19 4.8 6.88
AlexIwobi Arsenal 22 AM(CLR) 26 1844 43.7 1.1 0.7 36.8 5.1 6.88
JoshuaKing Bournemouth 26 AM(CLR)FW 33 2456 20.9 0.4 0.4 14.8 5.2 6.88
AlexOxladeChamberlain Liverpool 25 M(CLR) 32 1485 22.3 1.6 0.8 16.7 3.2 6.88
AnthonyMartial ManchesterUnited 22 AM(LR)FW 30 1584 24.4 0.4 0.2 19.5 4.2 6.87
JuniorStanislas Bournemouth 28 AM(CLR) 19 1299 25.7 0.5 0.3 19.4 5.5 6.87
JoeAllen Stoke 28 M(C) 36 3142 37.7 1.2 1.5 29.3 5.7 6.87
JonjoeKenny Everton 21 D(R) 19 1589 30.9 2.6 4.7 18.6 5.1 6.87
XherdanShaqiri Stoke 26 M(CLR) 36 3049 29.3 2.1 1.5 21.2 4.5 6.87
PhilBardsley Burnley 33 D(LR) 13 1126 32.2 2.2 4.5 19.5 6 6.87
BenjaminMendy ManchesterCity 24 D(LR) 13 1126 32.2 2.2 4.5 19.5 6 6.87
JuanMata ManchesterUnited 30 AM(CLR) 28 1933 43.4 1.9 0.8 35.7 5 6.87
SeamusColeman Everton 29 D(R)M(R) 12 1036 29.8 0.8 2.7 21 5.3 6.87
TiemouéBakayoko Chelsea 24 DMC 29 2126 38.2 1.5 0.5 31.4 4.8 6.87
ChancelMbemba NewcastleUnited 24 D(CL)DMC 9 672 23.7 1 2.3 16 4.3 6.87
GaryCahill Chelsea 32 D(C) 27 2084 49.3 1.7 1.8 42.1 3.6 6.87
NathanielChalobah Watford 23 DMC 6 448 30.3 1.5 2.7 20.5 5.7 6.86
AaronMooy Huddersfield 27 M(C) 36 3071 52.8 2.8 2.8 39.2 8 6.86
MayaYoshida Southampton 30 D(CR) 24 2051 44.3 2.6 3.9 34.7 3.1 6.86
