ThiagoSilva ParisSaintGermain 33 D(C) 25 2117 68.5 4.1 1.1 61.7 1.6 7.08
Marçal Lyon 29 D(L) 18 1294 46.5 2.1 1.8 36.9 5.7 7.08
RubenAguilar Montpellier 25 D(R)M(R) 31 2459 35.5 1.1 1.9 27.2 5.4 7.08
LassDiarra ParisSaintGermain 33 M(C) 10 609 51.1 4 0.5 43.1 3.5 7.07
NevenSubotic Saint-Etienne 29 D(C) 16 1440 51.9 4.9 4.1 39.6 3.4 7.06
GiovaniLoCelso ParisSaintGermain 22 AM(C) 33 1769 47.7 2.8 0.5 40.3 4.2 7.06
PierreLees-Melou Nice 25 AM(CLR) 34 2898 44.2 2.4 1.4 35.1 5.3 7.05
Pablo Bordeaux 27 D(C) 15 1292 42.1 4.6 2.9 32 2.6 7.05
Lima Nantes 26 D(L)M(L) 33 2661 32.1 1.9 3.5 20.5 6.2 7.05
BounaSarr Marseille 26 D(R)M(CLR) 29 1782 37 0.8 0.9 31.9 3.4 7.04
JulianDraxler ParisSaintGermain 24 AM(CLR) 30 1706 44.6 1.5 0.4 39.9 2.8 7.04
DiegoBenaglio Monaco 34 GK 3 225 17.7 5 5.3 7.3 - 7.03
JonathanMartinsPereira Guingamp 32 D(R) 14 1137 39.4 1.6 1.9 30.9 5 7.03
LoicPerrin Saint-Etienne 33 D(C) 28 2466 54.8 3.5 3 44.9 3.4 7.02
BakayeDibassy Amiens 29 D(CL) 32 2779 32.3 1.8 2.6 23.6 4.3 7.02
FerlandMendy Lyon 23 D(L) 27 2123 48.2 1.5 0.9 40.3 5.6 7.02
FlavienTait Angers 25 AM(CLR) 31 2248 27.6 1 0.8 20.1 5.8 7.02
RonyLopes Monaco 22 AM(CLR) 38 2553 19.2 0.2 0.9 14.5 3.5 7.01
StevanJovetic Monaco 28 AM(C)FW 15 751 16.5 0.4 0.5 10.9 4.7 7.01
RamyBensebaini Rennes 23 D(CL)DMC 29 2345 41.8 2.2 3.8 30.3 5.5 7.01
BriceSamba Caen 24 GK 4 315 22.3 8.3 9 5 - 7.01
WahbiKhazri Rennes 27 M(CLR)FW 24 1927 27.1 1.9 0.8 19.1 5.3 7.00
RenaudCohade Metz 33 M(C) 38 3301 50.9 4.5 3.2 35.3 7.9 6.99
MorganSanson Marseille 24 M(CLR) 33 2173 29.7 1.2 0.9 23.3 4.3 6.99
IbrahimSangaré Toulouse 20 DMC 20 1589 40.4 3.7 3.5 26.4 6.9 6.99
JavierPastore ParisSaintGermain 29 AM(CLR) 25 1344 39.8 1.3 1 31.4 6.1 6.99
RacineColy Nice 22 D(L) 7 618 53.1 1.1 1.1 45.4 5.4 6.98
PapyDjilobodji Dijon 29 D(C) 30 2700 51 5.9 5.8 34.5 4.7 6.97
